Tract Code,Tract Income Level,Distressed or Under,Tract Median Family Income %,2021 FFIEC Est. MSA/MD non-MSA/MD Median Family Income,2021 Est. Tract Median Family Income,2015 Tract Median Family Income,Tract Population,Tract Minority %,Minority Population,Owner Occupied Units,1- to 4- Family Units,Total Housing Units,Median House Age (Years),Inside Principal City?,Owner Occupied Units,Vacant Units,Owner Occupied 1- to 4- Family Units,Renter Occupied Units
7001.01,Upper,No,154.78,"$129,900 ","$201,059 ","$174,375 ",4461,22.8,1017,1263,1439,1439,35,No,1263,88,1263,88
7001.03,Upper,No,145.89,"$129,900 ","$189,511 ","$164,358 ",5680,32.45,1843,1703,1879,1879,25,No,1703,74,1703,102
7001.04,Middle,No,103.46,"$129,900 ","$134,395 ","$116,563 ",5856,65.23,3820,1653,1947,1947,29,No,1653,118,1653,176
7001.05,Middle,No,106.56,"$129,900 ","$138,421 ","$120,047 ",6170,52.37,3231,1747,2024,2113,26,No,1747,79,1747,287
7002.04,Middle,No,86.39,"$129,900 ","$112,221 ","$97,326 ",2044,10.08,206,642,751,765,51,No,642,11,642,112
7002.05,Upper,No,135.48,"$129,900 ","$175,989 ","$152,634 ",8206,41.73,3424,2295,2536,2617,22,No,2295,154,2268,168
7002.06,Upper,No,124.85,"$129,900 ","$162,180 ","$140,653 ",5786,21.72,1257,1660,1858,1858,30,No,1660,88,1660,110
7002.07,Middle,No,85.72,"$129,900 ","$111,350 ","$96,573 ",5599,44.17,2473,1482,1713,2002,29,No,1482,195,1310,325
7002.08,Upper,No,121.54,"$129,900 ","$157,880 ","$136,923 ",2217,18.22,404,685,748,748,45,No,685,18,685,45
7003.04,Upper,No,120.12,"$129,900 ","$156,036 ","$135,327 ",8435,70.74,5967,1829,1852,2713,19,No,1829,114,1578,770
7003.06,Middle,No,106.6,"$129,900 ","$138,473 ","$120,093 ",7087,61.35,4348,1889,2497,2510,21,No,1889,251,1876,370
7003.08,Middle,No,89.9,"$129,900 ","$116,780 ","$101,288 ",5652,53.86,3044,1721,1947,2431,27,No,1721,168,1548,542
7003.09,Moderate,No,64.13,"$129,900 ","$83,305 ","$72,250 ",5590,69.68,3895,1206,1189,2230,26,No,1206,86,944,938
7003.1,Moderate,No,58.75,"$129,900 ","$76,316 ","$66,193 ",6227,58.29,3630,1794,1252,2733,26,No,1794,57,1134,882
7003.11,Upper,No,121.61,"$129,900 ","$157,971 ","$137,009 ",8925,62.55,5583,2373,2678,2701,10,No,2373,0,2350,328
7003.12,Middle,No,112.11,"$129,900 ","$145,631 ","$126,304 ",6020,52.34,3151,1495,1748,1923,12,No,1495,122,1332,306
7004,Middle,No,119.62,"$129,900 ","$155,386 ","$134,766 ",2068,13.68,283,670,891,891,47,No,670,88,670,133
7005,Upper,No,132.79,"$129,900 ","$172,494 ","$149,604 ",6445,23.55,1518,1855,2249,2249,37,No,1855,159,1855,235
7006.04,Upper,No,166.78,"$129,900 ","$216,647 ","$187,895 ",6784,32.12,2179,2139,2309,2309,32,No,2139,97,2139,73
7006.06,Upper,No,138.78,"$129,900 ","$180,275 ","$156,351 ",4453,41.61,1853,1344,1411,1419,35,No,1344,26,1336,49
7006.07,Upper,No,153.84,"$129,900 ","$199,838 ","$173,317 ",7661,66.52,5096,2028,2503,2518,0,No,2028,158,2013,332
7006.08,Upper,No,221.91,"$129,900 ","$288,261 ","$250,001 ",5858,45.72,2678,1643,1861,1861,23,No,1643,125,1643,93
7006.1,Upper,No,132.31,"$129,900 ","$171,871 ","$149,063 ",2160,37.87,818,588,680,680,37,Yes,588,23,588,69
7006.11,Upper,No,136.46,"$129,900 ","$177,262 ","$153,734 ",7016,71.91,5045,1647,1706,1831,0,No,1647,13,1564,171
7006.13,Upper,No,129.99,"$129,900 ","$168,857 ","$146,450 ",6012,61.24,3682,1660,1800,2136,17,No,1660,23,1651,453
7006.14,Middle,No,85.36,"$129,900 ","$110,883 ","$96,165 ",4929,62.51,3081,1293,827,2298,29,No,1293,95,687,910
7006.15,Upper,No,143.6,"$129,900 ","$186,536 ","$161,776 ",2925,25.81,755,867,982,986,0,No,867,41,863,78
7006.16,Upper,No,139.03,"$129,900 ","$180,600 ","$156,625 ",4668,46.81,2185,1427,1503,1544,27,No,1427,0,1402,117
7007.04,Moderate,No,77.25,"$129,900 ","$100,348 ","$87,031 ",3281,61.17,2007,709,837,1059,47,Yes,709,72,709,278
7007.06,Moderate,No,70.37,"$129,900 ","$91,411 ","$79,286 ",4154,70.58,2932,623,719,1605,36,Yes,623,70,623,912
7007.1,Middle,No,91.46,"$129,900 ","$118,807 ","$103,036 ",6564,62.45,4099,1605,2022,2163,38,No,1605,97,1605,461
7007.11,Middle,No,98.77,"$129,900 ","$128,302 ","$111,279 ",5881,55.13,3242,1521,1861,2110,34,No,1521,47,1479,542
7007.13,Low,No,43.88,"$129,900 ","$57,000 ","$49,444 ",5986,86.75,5193,641,1101,2157,33,Yes,641,170,626,1346
7007.15,Middle,No,89.49,"$129,900 ","$116,248 ","$100,822 ",6275,75.51,4738,1455,1791,1791,36,No,1455,77,1455,259
7007.16,Middle,No,91.25,"$129,900 ","$118,534 ","$102,802 ",8146,66.78,5440,2044,2000,2778,30,Yes,2044,42,1754,692
7007.17,Moderate,No,59.15,"$129,900 ","$76,836 ","$66,646 ",6494,76.09,4941,1148,1236,2442,39,Yes,1148,273,999,1021
7007.18,Middle,No,119.08,"$129,900 ","$154,685 ","$134,152 ",4625,48.15,2227,1110,984,2206,0,Yes,1110,81,538,1015
7007.19,Low,No,49.52,"$129,900 ","$64,326 ","$55,795 ",9696,74.88,7260,1191,1540,2950,33,Yes,1191,67,992,1692
7007.2,Middle,No,83.69,"$129,900 ","$108,713 ","$94,286 ",3829,77.23,2957,677,815,1178,29,Yes,677,0,677,501
7007.21,Moderate,No,62.84,"$129,900 ","$81,629 ","$70,795 ",3093,74.1,2292,611,185,1453,34,Yes,611,114,120,728
7007.22,Low,No,45.62,"$129,900 ","$59,260 ","$51,397 ",4312,73.77,3181,799,1007,1782,32,Yes,799,64,662,919
7007.23,Moderate,No,62.07,"$129,900 ","$80,629 ","$69,931 ",3548,42.62,1512,166,288,1965,30,Yes,166,182,83,1617
7007.24,Low,No,42.19,"$129,900 ","$54,805 ","$47,540 ",3435,89.69,3081,81,297,1351,39,Yes,81,97,81,1173
7008.1,Middle,No,92.31,"$129,900 ","$119,911 ","$104,000 ",5114,60.29,3083,1418,1793,1828,37,No,1418,122,1395,288
7008.11,Moderate,No,73.53,"$129,900 ","$95,515 ","$82,841 ",4648,72.7,3379,1023,1478,1629,36,No,1023,187,1023,419
7008.12,Middle,No,87.9,"$129,900 ","$114,182 ","$99,028 ",3980,54.32,2162,1210,1221,1738,38,No,1210,132,1045,396
7008.13,Moderate,No,73.56,"$129,900 ","$95,554 ","$82,879 ",6334,68.01,4308,1522,1532,2059,39,Yes,1522,44,1209,493
7008.15,Middle,No,85.48,"$129,900 ","$111,039 ","$96,298 ",7456,71,5294,1965,2342,2534,27,No,1965,93,1845,476
7008.16,Middle,No,82.7,"$129,900 ","$107,427 ","$93,169 ",8639,77.95,6734,1475,1886,2997,35,Yes,1475,95,1434,1427
7008.17,Middle,No,88.61,"$129,900 ","$115,104 ","$99,833 ",5436,52.78,2869,618,578,2720,21,Yes,618,189,348,1913
7008.18,Moderate,No,51.17,"$129,900 ","$66,470 ","$57,650 ",7069,80.29,5676,621,1240,2681,30,No,621,22,621,2038
7008.19,Moderate,No,67.24,"$129,900 ","$87,345 ","$75,757 ",7387,63.73,4708,1789,1966,2515,29,No,1789,0,1602,726
7008.2,Moderate,No,56.33,"$129,900 ","$73,173 ","$63,468 ",3110,77.78,2419,258,344,1056,36,Yes,258,30,258,768
7008.22,Moderate,No,52.76,"$129,900 ","$68,535 ","$59,444 ",1724,53.6,924,395,214,721,34,Yes,395,80,116,246
7008.23,Middle,No,102.41,"$129,900 ","$133,031 ","$115,375 ",3197,36.6,1170,1021,1257,1257,34,Yes,1021,106,1021,130
7008.24,Upper,No,130.13,"$129,900 ","$169,039 ","$146,607 ",3177,32.58,1035,988,919,1109,0,Yes,988,4,843,117
7008.26,Upper,No,142.29,"$129,900 ","$184,835 ","$160,304 ",5700,28.74,1638,1675,1450,2753,14,Yes,1675,157,1262,921
